"","ensemblID","reactomeID","pwDesc"
"1","AT1G17060.1","R-ATH-556833","Metabolism of lipids and lipoproteins"
"2","AT1G17060.1","R-ATH-211945","Phase 1 - Functionalization of compounds"
"3","AT1G17060.1","R-ATH-192105","Synthesis of bile acids and bile salts"
"4","AT1G17060.1","R-ATH-211976","Endogenous sterols"
"5","AT1G17060.1","R-ATH-211859","Biological oxidations"
"6","AT1G17060.1","R-ATH-211897","Cytochrome P450 - arranged by substrate type"
"7","AT1G17060.1","R-ATH-193775","Synthesis of bile acids and bile salts via 24-hydroxycholesterol"
"8","AT1G17060.1","R-ATH-194068","Bile acid and bile salt metabolism"
"9","AT1G17060.1","R-ATH-1430728","Metabolism"
"10","AT1G20490.1","R-ATH-556833","Metabolism of lipids and lipoproteins"
"11","AT1G20490.1","R-ATH-535734","Fatty acid"
"12","AT1G20490.1","R-ATH-75105","Fatty Acyl-CoA Biosynthesis"
"13","AT1G20490.1","R-ATH-75109","Triglyceride Biosynthesis"
"14","AT1G20490.1","R-ATH-1430728","Metabolism"
"15","AT1G32480.1","R-ATH-1428517","The citric acid (TCA) cycle and respiratory electron transport"
"16","AT1G32480.1","R-ATH-71403","Citric acid cycle (TCA cycle)"
"17","AT1G32480.1","R-ATH-71406","Pyruvate metabolism and Citric Acid (TCA) cycle"
"18","AT1G32480.1","R-ATH-1430728","Metabolism"
"19","AT1G63340.1","R-ATH-211945","Phase 1 - Functionalization of compounds"
"20","AT1G63340.1","R-ATH-211859","Biological oxidations"
"21","AT1G63340.1","R-ATH-217271","FMO oxidises nucleophiles"
"22","AT1G63340.1","R-ATH-1430728","Metabolism"
"23","AT2G16360.1","R-ATH-1799339","SRP-dependent cotranslational protein targeting to membrane"
"24","AT2G16360.1","R-ATH-72702","Ribosomal scanning and start codon recognition"
"25","AT2G16360.1","R-ATH-72737","Cap-dependent Translation Initiation"
"26","AT2G16360.1","R-ATH-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"27","AT2G16360.1","R-ATH-156827","L13a-mediated translational silencing of Ceruloplasmin expression"
"28","AT2G16360.1","R-ATH-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"29","AT2G16360.1","R-ATH-927802","Nonsense-Mediated Decay (NMD)"
"30","AT2G16360.1","R-ATH-72695","Formation of the ternary complex"
"31","AT2G16360.1","R-ATH-72613","Eukaryotic Translation Initiation"
"32","AT2G16360.1","R-ATH-72766","Translation"
"33","AT2G16360.1","R-ATH-72689","Formation of a pool of free 40S subunits"
"34","AT2G16360.1","R-ATH-74160","Gene Expression"
"35","AT2G16360.1","R-ATH-72706","GTP hydrolysis and joining of the 60S ribosomal subunit"
"36","AT2G16360.1","R-ATH-392499","Metabolism of proteins"
"37","AT2G47570.1","R-ATH-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"38","AT2G47570.1","R-ATH-156827","L13a-mediated translational silencing of Ceruloplasmin expression"
"39","AT2G47570.1","R-ATH-1799339","SRP-dependent cotranslational protein targeting to membrane"
"40","AT2G47570.1","R-ATH-927802","Nonsense-Mediated Decay (NMD)"
"41","AT2G47570.1","R-ATH-72737","Cap-dependent Translation Initiation"
"42","AT2G47570.1","R-ATH-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"43","AT2G47570.1","R-ATH-72613","Eukaryotic Translation Initiation"
"44","AT2G47570.1","R-ATH-72689","Formation of a pool of free 40S subunits"
"45","AT2G47570.1","R-ATH-72766","Translation"
"46","AT2G47570.1","R-ATH-72706","GTP hydrolysis and joining of the 60S ribosomal subunit"
"47","AT2G47570.1","R-ATH-74160","Gene Expression"
"48","AT2G47570.1","R-ATH-392499","Metabolism of proteins"
"49","AT2G47570.2","R-ATH-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"50","AT2G47570.2","R-ATH-156827","L13a-mediated translational silencing of Ceruloplasmin expression"
"51","AT2G47570.2","R-ATH-1799339","SRP-dependent cotranslational protein targeting to membrane"
"52","AT2G47570.2","R-ATH-927802","Nonsense-Mediated Decay (NMD)"
"53","AT2G47570.2","R-ATH-72737","Cap-dependent Translation Initiation"
"54","AT2G47570.2","R-ATH-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"55","AT2G47570.2","R-ATH-72613","Eukaryotic Translation Initiation"
"56","AT2G47570.2","R-ATH-72689","Formation of a pool of free 40S subunits"
"57","AT2G47570.2","R-ATH-72766","Translation"
"58","AT2G47570.2","R-ATH-72706","GTP hydrolysis and joining of the 60S ribosomal subunit"
"59","AT2G47570.2","R-ATH-74160","Gene Expression"
