,logFC,logCPM,LR,PValue
MER61D,5.79715595,6.496760564,10.84666355,0.000989739
LTR73,5.741232814,6.48991274,12.78934031,0.0003486
AluYe2,5.528884344,6.365614024,9.777087412,0.001767
LTR42,5.525682194,6.494520293,7.870682855,0.005024268
L1MCB_5,5.183588782,6.097339618,10.22292442,0.001387057
LTR1B1,5.02951911,6.11199163,10.20088261,0.001403735
AluSx,4.967041104,6.067424167,7.90214801,0.004937613
CHARLIE2B,4.768266837,5.913415792,8.504174832,0.003543326
LTR68,4.736971603,5.994990111,7.087372939,0.007762896
L1ME3C_3end,4.655020163,5.940696959,7.50399578,0.006156226
LTR54B,4.655020163,5.940696959,7.50399578,0.006156226
LTR24,4.505418466,5.877593047,7.342401745,0.00673468
LTR41,4.233578511,5.703525082,6.354146292,0.011710728
MER104A,4.025178351,5.682861549,4.945470965,0.026159111
LTR43,4.001215434,9.217192326,17.88166413,2.35E-05
MER47B,3.972647885,5.568554355,5.185464812,0.022776579
MER51D,3.971158647,7.55045753,13.0399192,0.000304921
ORSL,3.913449632,5.619527743,4.652512589,0.031008128
LTR47B2,3.860047047,5.612812298,4.579692431,0.032353022
IN25,3.784293407,5.548365634,4.583836057,0.032274884
HERVG25,3.776905485,5.489484374,4.419512535,0.035530185
L1MDB_5,3.670609681,5.538833084,4.161156303,0.041361159
LTR48B,3.65221263,6.556007877,9.512603949,0.002040654
EUTREP13,3.595279489,5.474055876,4.074457168,0.043536253
LTR38A1,3.561305299,5.470092505,4.020454677,0.044951593
MER34,3.49522063,5.463427628,3.988660335,0.045807471
LTR40C,3.474369663,5.461454611,3.89332566,0.048478338
LTR1B,2.965332667,7.607580937,8.869242162,0.002900155
L1M2A1_5,2.826534724,8.335659376,8.187428389,0.004218168
LTR14A,2.800494576,8.692530632,10.58463163,0.001140316
LTR2B,2.515573915,11.78516439,13.34154466,0.00025959
LTR1D,2.419995205,7.388090777,7.954564033,0.004796626
AluYd3a1_gib,2.401295317,7.394409862,7.757316117,0.00534954
MER77,2.312842961,7.335178093,5.359317827,0.020611835
MER52D,2.297936368,7.934041224,8.186547388,0.004220217
LTR23,2.24463276,8.056481147,5.395130511,0.020193015
HARLEQUIN,2.177242806,14.95695311,15.55945494,8.00E-05
AluYd8,2.148517908,8.078354305,6.370328697,0.01160441
MER57C2,2.11297232,6.615539907,4.345342942,0.037110293
CER,2.089538214,7.631207871,6.531894627,0.010595704
AluY,2.026292642,9.507918246,8.526487703,0.003500145
HERVIP10F,1.793129079,10.99733751,9.005512045,0.002691666
TIGGER5_A,1.785183489,9.060533192,4.00770105,0.04529287
MER52B,1.7455835,7.263425541,3.876714622,0.048960276
LTR76,1.719508626,9.303001893,5.498345242,0.019034478
LTR14B,1.678563849,9.082358975,5.141935861,0.023354592
MLT1E2,1.63165971,8.82104675,6.301334955,0.012064708
MER68A,1.507556445,8.514064157,4.131039875,0.042103471
LTR12E,1.372309196,9.468673035,6.059381611,0.013832611
LTR12D,1.351653394,9.656605447,4.691224985,0.030317027
Tigger2b_Pri,1.347815521,9.645558959,4.328028478,0.037489645
MER41I,-1.174931426,10.10653986,4.391187837,0.036125136
LTR19A,-1.355527858,8.973644985,5.380068706,0.020368076
HUERS-P3,-1.366333648,10.68075485,5.588007475,0.018083856
AluYi6,-1.381278101,8.295825735,3.831126812,0.0503091
LTR39,-1.434769183,8.547019768,5.132350571,0.023483904
MER67B,-1.568494529,8.36552508,4.100155512,0.042879269
CHARLIE6,-1.778703239,6.765505355,3.970866028,0.046293957
AluYk13,-1.848329218,6.878899018,4.305897236,0.037980456
FLAM,-1.851741158,6.751526756,4.097905375,0.042936376
MER54A,-2.003558403,7.28619014,4.121607467,0.042338831
TIGGER6B,-2.182285492,6.28310353,3.992487944,0.045703532
LOR1b_LTR,-2.300818768,7.19540095,6.941500854,0.008421842
MLT1G3,-2.325581929,6.105589382,3.856650488,0.049549154
MER69C,-2.920252739,5.668600827,4.829040118,0.027984207
MER66A,-3.089850795,8.031417049,6.802057545,0.009105288
MER22,-3.247743585,8.777552495,6.852055042,0.008853937
MER57C1,-3.313031872,6.611211595,4.596349058,0.032040118
SVA_E,-3.358488964,7.911759858,9.992121398,0.001572114
L1MEB_5,-3.421878051,5.30652208,4.756368704,0.029190069
MER69B,-3.527738711,5.313900943,4.98508271,0.025566763
MER41G,-3.549089654,6.051704278,5.995785866,0.014340092
X11_DNA,-3.622988562,5.960129004,6.642251579,0.009958799
LTR34,-3.732383163,6.166049181,6.350189862,0.011736874
MLT1J2,-3.785648994,5.401183809,6.028992833,0.014072761
L1M3DE_5,-3.966810647,5.415009924,6.526391526,0.010628536
ALR2,-4.049396867,5.490156763,6.686281171,0.009715767
MER83AI,-4.256131953,5.504843105,7.500735449,0.00616738
MER63A,-4.277743715,5.574088044,7.426437715,0.006427245
L1MC4_5end,-4.339467075,5.577508592,8.163281741,0.004274695
SN5,-4.56658002,5.594714275,7.779107224,0.005285391
AluYc5,-4.591762195,5.596085117,7.807237462,0.005203739
LTR47B,-6.209544648,6.433505777,12.66407639,0.000372749
MER45,-6.393432311,6.70135236,19.8880171,8.21E-06
