AT1G17060.1,R-ATH-556833,Arabidopsis thaliana,Metabolism of lipids and lipoproteins
AT1G17060.1,R-ATH-211945,Arabidopsis thaliana,Phase 1 - Functionalization of compounds
AT1G17060.1,R-ATH-192105,Arabidopsis thaliana,Synthesis of bile acids and bile salts
AT1G17060.1,R-ATH-211976,Arabidopsis thaliana,Endogenous sterols
AT1G17060.1,R-ATH-211859,Arabidopsis thaliana,Biological oxidations
AT1G17060.1,R-ATH-211897,Arabidopsis thaliana,Cytochrome P450 - arranged by substrate type
AT1G17060.1,R-ATH-193775,Arabidopsis thaliana,Synthesis of bile acids and bile salts via 24-hydroxycholesterol
AT1G17060.1,R-ATH-194068,Arabidopsis thaliana,Bile acid and bile salt metabolism
AT1G17060.1,R-ATH-1430728,Arabidopsis thaliana,Metabolism
AT1G20490.1,R-ATH-556833,Arabidopsis thaliana,Metabolism of lipids and lipoproteins
AT1G20490.1,R-ATH-535734,Arabidopsis thaliana,Fatty acid  triacylglycerol  and ketone body metabolism
AT1G20490.1,R-ATH-75105,Arabidopsis thaliana,Fatty Acyl-CoA Biosynthesis
AT1G20490.1,R-ATH-75109,Arabidopsis thaliana,Triglyceride Biosynthesis
AT1G20490.1,R-ATH-1430728,Arabidopsis thaliana,Metabolism
AT1G32480.1,R-ATH-1428517,Arabidopsis thaliana,The citric acid (TCA) cycle and respiratory electron transport
AT1G32480.1,R-ATH-71403,Arabidopsis thaliana,Citric acid cycle (TCA cycle)
AT1G32480.1,R-ATH-71406,Arabidopsis thaliana,Pyruvate metabolism and Citric Acid (TCA) cycle
AT1G32480.1,R-ATH-1430728,Arabidopsis thaliana,Metabolism
AT1G63340.1,R-ATH-211945,Arabidopsis thaliana,Phase 1 - Functionalization of compounds
AT1G63340.1,R-ATH-211859,Arabidopsis thaliana,Biological oxidations
AT1G63340.1,R-ATH-217271,Arabidopsis thaliana,FMO oxidises nucleophiles
AT1G63340.1,R-ATH-1430728,Arabidopsis thaliana,Metabolism
AT2G16360.1,R-ATH-1799339,Arabidopsis thaliana,SRP-dependent cotranslational protein targeting to membrane
AT2G16360.1,R-ATH-72702,Arabidopsis thaliana,Ribosomal scanning and start codon recognition
AT2G16360.1,R-ATH-72737,Arabidopsis thaliana,Cap-dependent Translation Initiation
AT2G16360.1,R-ATH-975956,Arabidopsis thaliana,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
AT2G16360.1,R-ATH-156827,Arabidopsis thaliana,L13a-mediated translational silencing of Ceruloplasmin expression
AT2G16360.1,R-ATH-975957,Arabidopsis thaliana,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
AT2G16360.1,R-ATH-927802,Arabidopsis thaliana,Nonsense-Mediated Decay (NMD)
AT2G16360.1,R-ATH-72695,Arabidopsis thaliana,Formation of the ternary complex  and subsequently  the 43S complex
AT2G16360.1,R-ATH-72613,Arabidopsis thaliana,Eukaryotic Translation Initiation
AT2G16360.1,R-ATH-72766,Arabidopsis thaliana,Translation
AT2G16360.1,R-ATH-72689,Arabidopsis thaliana,Formation of a pool of free 40S subunits
AT2G16360.1,R-ATH-74160,Arabidopsis thaliana,Gene Expression
AT2G16360.1,R-ATH-72706,Arabidopsis thaliana,GTP hydrolysis and joining of the 60S ribosomal subunit
AT2G16360.1,R-ATH-392499,Arabidopsis thaliana,Metabolism of proteins
AT2G47570.1,R-ATH-975957,Arabidopsis thaliana,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
AT2G47570.1,R-ATH-156827,Arabidopsis thaliana,L13a-mediated translational silencing of Ceruloplasmin expression
AT2G47570.1,R-ATH-1799339,Arabidopsis thaliana,SRP-dependent cotranslational protein targeting to membrane
AT2G47570.1,R-ATH-927802,Arabidopsis thaliana,Nonsense-Mediated Decay (NMD)
